
心室	B-A
性	I-A
期	I-A
外	I-A
収縮	I-A
です	O
心	I-T
エコー	I-T
の	O
結果	O
も	I-T
特別	O
異常	B-T
あり	I-T
ませ	O
ん	O
でした	O
叔父	B-T
が	I-T
４０	I-T
歳	I-T
で	I-T
心	I-T
不全	I-T
で	I-T
急死	I-T
を	I-T
して	I-T
いる	I-T
と	I-T
いう	I-T
家族	I-T
歴	I-T
は	I-T
あり	I-T
ます	I-T
けれども	I-T
自覚	I-T
症状	I-T
も	I-T
ない	I-T
ので	I-T
問題	I-T
と	I-T
なら	I-T
ない	I-T
でしょう	I-T
このまま	O
経過	B-P
観察	I-P
して	I-T
み	O
ましょう	O

血圧	B-O
１３４	B-O
の	O
９４	B-O
です	O
脈拍	B-O
８０	B-O
身長	B-O
１６１	B-O
．	I-O
８	I-O
ＣＭ	O
眼球	B-O
結膜	I-O
黄疸	B-O
なし	I-A
、	O
眼瞼	B-O
結膜	I-O
貧血	B-O
胸	O
見	O
ます	O
ね	O
肺	O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
収縮	B-O
期	I-O
に	O
ごく	O
軽度	I-O
脈拍	B-O
不整	B-O
お腹	O
さわり	O
ます	O
腹壁	B-O
、	O
軟	O
、	O
平坦	B-O
圧痛	B-O
なし	I-A
腹鳴	B-O
正常	B-O
範囲	I-O
四肢	B-O
浮腫	B-O
軽度	I-O
慢性	B-A
心	I-A
不全	I-A
です	O
ね	O
心房	B-A
粗細	I-A
動向	I-A
尿	I-A
酸血症	I-A
著	B-A
変	I-A
なし	I-A
血液	B-A
検査	I-A
を	O
実施	O
して	O
肝	B-A
機能	I-A
を	O
中心	O
に	O
評価	O
を	O
し	O
問題	B-A
なし	I-A
お	O
薬	O
は	O
エナラプリル	B-T
マレイン	B-T
酸	I-T
塩	I-T
錠	I-T
、	O
プロミド	B-T
錠	I-T
、	O
アーチスト	B-T
錠	I-T
に	O
して	O
おき	O
ます	O
それぞれ	O
一	I-T
日	I-T
一	I-T
回	I-T
毎	I-T
食後	I-T
２８	B-T
日間	O
飲んで	O
ください	O
あと	O
、	O
プラザキサ	B-T
カプセル	I-T
と	O
いう	O
お	O
薬	O
も	O
、	O
１	B-T
日	I-T
２	I-T
回	I-T
、	O
朝夕	I-T
食後	I-T
２８	B-T
日	I-T
分	O
出して	O
おき	O
ます	O

血圧	B-O
１３５	B-O
の	O
８７	B-O
脈拍	B-O
８９	B-O
体温	B-O
３９	B-O
．	I-O
５	I-O
度	O
咽頭	B-O
後壁	I-O
発赤	B-O
あり	B-O
、	O
扁桃	I-A
腫大	I-O
軽度	B-O
、	O
白	B-O
苔	I-O
あり	B-O
胸部	O
聴診	O
、	O
呼吸	B-O
音	I-O
正常	B-O
、	O
心音	B-O
正常	B-O
急性	B-A
扁桃	I-A
炎	I-A
でしょう	O
ペニシリン	B-T
を	O
出して	O
おき	O
ます	O
ね	O

体重	B-O
６３	B-O
ｋｇ	O
眼球	B-O
結膜	I-O
黄疸	B-O
なし	I-O
、	O
眼瞼	B-O
結膜	I-O
貧血	B-O
なし	I-O
胸部	O
聴診	O
、	O
肺	O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
脈拍	B-O
整	B-O
腹部	O
所見	O
、	O
腹鳴	B-O
正常	B-O
範囲	I-O
下肢	B-O
浮腫	B-O
なし	I-O
やはり	O
２	B-A
型	I-A
糖尿	I-A
病	I-A
です	O
ね	O
カナグル	B-T
と	O
リピディル	B-T
を	O
出して	O
おき	O
ます	O
１	I-T
日	I-T
１	I-T
回	I-T
毎	I-T
食後	I-T
飲んで	O
ください	O
２８	B-T
日	I-T
文	O
だして	O
おき	O
ます	O
ね	O

聴診器	O
当て	O
ます	O
ね	O
肺	B-O
雑音	B-O
なし	I-O
、	O
心音	B-O
雑音	B-O
なし	I-O
四肢	B-O
浮腫	B-O
なし	I-O
全身	B-O
の	O
皮膚	B-O
に	O
乾燥	I-O
あり	O
高	B-A
血圧	I-A
症	I-A
です	O
ね	O
お	O
薬	O
は	O
カルベジロール	B-T
錠	I-T
１０	I-T
ＭＧ	O
１	B-T
錠	I-T
を	O
出し	O
ます	O
１	B-T
日	I-T
１	B-T
回	I-T
毎	B-T
食後	I-T
３０	B-T
日	I-T
文	O
出して	O
おき	O
ます	O
アルミ	B-T
テック	I-T
ＯＤ	I-T
錠	I-T
４０	I-T
ＭＧ	O
も	O
毎	B-T
食後	I-T
１	B-T
錠	I-T
飲んで	O
ください	O
３０	B-T
日	I-T
分	O
出して	O
おき	O
ます	O

感冒	B-A
症	I-A
な	O
ので	O
解熱	B-T
剤	I-T
と	O
抗生剤	B-T
を	O
出して	O
おき	O
ます	O
ね	O

血圧	B-O
１３５	B-O
の	O
８７	B-O
脈拍	B-O
８２	I-O
体温	B-O
３９	B-O
．	I-O
５	I-O
度	O
咽頭	B-O
後壁	I-O
発赤	I-O
軽度	B-O
、	O
扁桃	I-A
肥大	I-O
なし	B-O
白	B-O
苔	I-O
あり	B-O
病名	OB
は	O
急性	B-A
扁桃	I-A
炎	I-A
でしょう	O
処方	B-T
は	O
抗生剤	B-T
を	O
３	B-T
日	I-T
文	O
出し	O
ます	O
毎	B-T
食後	I-T
に	O
飲んで	O
ください	O

身長	B-O
１７４	B-O
．	I-O
２	I-O
ＣＭ	O
眼球	B-O
結膜	I-O
黄疸	B-O
なし	I-O
、	O
眼瞼	B-O
結膜	I-O
貧血	B-O
胸部	O
触診	O
、	O
肺	O
呼吸	B-O
音	I-O
式	O
用紙	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
診断	B-A
は	O
潰瘍	B-A
性	I-A
大腸	I-A
炎	I-A
の	O
疑い	B-A
が	O
あり	O
ます	O
レザルタス	B-T
配合	I-T
錠	I-T
を	O
一	O
日	I-T
一	O
回	I-T
朝食	I-T
後	I-T
に	O
飲んで	O
ください	O
３０	B-T
日	I-T
ぶん出	O
し	O
ます	O
このまま	O
経過	B-P
観察	I-P
し	O
ましょう	O

扁桃腺	B-O
肥大	B-O
は	O
なし	I-O
肺	B-A
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	I-O
なし	I-O
腹部	O
所見	O
、	O
腹壁	B-O
平坦	B-O
圧痛	B-O
なし	I-O
四肢	B-O
浮腫	B-O
なし	I-O
胸部	B-O
Ｘ	I-O
線	I-O
異常	B-O
なし	I-O
肺	B-A
がん	I-A
の	O
疑い	B-A
が	O
ある	O
こと	O
、	O
狭心症	B-A
の	O
疑い	B-A
が	O
ある	O
こと	O
、	O
肝	B-A
機能	I-A
障害	I-A
の	O
疑い	B-A
が	O
ある	O
こと	O
本日	O
採決	O
を	I-P
行い	O
ましょう	I-P
次回	B-P
８	I-P
月	I-P
２９	I-P
日	I-P
に	O
結果	I-P
を	I-P
見	I-P
ましょう	I-P

胸部	O
所見	O
、	O
肺	O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
腰部	B-O
皮膚	I-O
は	O
正常	B-O
範囲	I-O
、	O
圧痛	B-O
なし	I-O
四肢	B-O
浮腫	B-O
なし	I-O
両手	B-O
が	O
乾燥	B-O
し	O
発疹	B-O
が	O
ある	O
左	B-A
足	I-A
に	O
慧眼	O
が	O
ある	O
診断	B-A
は	O
筋膜	B-A
性	I-A
腰痛	I-A
症	I-A
と	O
左	B-A
足	I-A
慧眼	O
と	O
進行	B-A
性	I-A
指掌角皮	O
です	O
処方	B-T
は	O
ウレパール	B-T
クリーム	I-T
で	O
両手	B-O
の	O
乾燥	B-O
や	O
発疹	B-O
の	O
様子	O
を	O
見	O
ましょう	O
ロキソニン	B-T
テープ	I-T
を	O
腰	O
が	O
張って	O
腰	O
の	O
痛み止め	O
と	O
し	O
ます	O
スピール	B-T
膏魚左足	O
の	O
炯眼	O
に	O
塗って	O
様子	O
を	O
見	O
ましょう	O
それぞれ	O
内服	O
と	O
外	O
用	O
で	O
経過	B-P
観察	I-P
と	O
し	O
ます	O

血圧	B-O
１２２	B-O
の	O
７２	B-O
脈拍	B-O
７５	B-O
酸素	B-O
飽和	I-O
度	I-O
９９	B-O
％	O
体温	B-O
３６	B-O
．	I-O
６	I-O
度	I-O
眼球	B-O
結膜	I-O
黄疸	B-O
なし	I-O
、	O
眼瞼	B-O
結膜	I-O
貧血	B-O
あり	I-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
あり	I-O
脈拍	B-O
不整	B-O
腹部	B-O
所見	O
、	O
平坦	B-O
圧痛	B-O
なし	I-O
腹鳴	B-O
低下	B-O
、	O
腰	B-O
の	O
変形	B-O
が	O
