心室	B-A
性	I-A
期	I-A
外	I-A
収縮	I-A
です	O
心	B-O
エコー	O
の	O
結果	O
も	O
特別	O
異常	O
あり	B-O
ませ	O
ん	O
でした	O
叔父	O
が	O
４０	O
歳	O
で	O
心	B-O
不全	O
で	O
急死	O
を	O
して	O
いる	O
と	O
いう	O
家族	O
歴	O
は	O
あり	B-O
ます	O
けれども	O
自覚	O
症状	O
も	O
ない	O
ので	O
問題	O
と	O
なら	O
ない	O
でしょう	O
このまま	O
経過	O
観察	O
して	O
み	O
ましょう	O
血圧	B-O
１３４	B-O
の	O
９４	B-O
です	O
脈拍	O
８０	O
身長	B-O
１６１	O
．	I-O
８	B-P
ＣＭ	O
眼球	B-7
結膜	I-7
黄疸	B-7
なし	I-O
、	O
眼瞼	O
結膜	I-7
貧血	O
胸	O
見	O
ます	O
ね	O
肺	B-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
収縮	I-A
期	I-A
に	O
ごく	O
軽度	B-O
脈拍	O
不整	O
お腹	O
さわり	O
ます	O
腹壁	O
、	O
軟	O
、	O
平坦	O
圧痛	O
なし	I-O
腹鳴	O
正常	B-O
範囲	O
四肢	O
浮腫	O
軽度	B-O
慢性	O
心	B-O
不全	O
です	O
ね	O
心房	O
粗細	O
動向	O
尿	B-O
酸血症	O
著	O
変	O
なし	I-O
血液	O
検査	I-O
を	O
実施	O
して	O
肝	O
機能	O
を	O
中心	O
に	O
評価	O
を	O
し	O
問題	O
なし	I-O
お	O
薬	O
は	O
エナラプリル	O
マレイン	O
酸	O
塩	O
錠	I-T
、	O
プロミド	O
錠	I-T
、	O
アーチスト	O
錠	I-T
に	O
して	O
おき	O
ます	O
それぞれ	O
一	O
日	I-P
一	O
回	I-T
毎	I-T
食後	I-T
２８	O
日間	O
飲んで	O
ください	O
あと	O
、	O
プラザキサ	O
カプセル	O
と	O
いう	O
お	O
薬	O
も	O
、	O
１	B-T
日	I-P
２	I-O
回	I-T
、	O
朝夕	O
食後	I-T
２８	O
日	I-P
分	I-T
出して	O
おき	O
ます	O
血圧	B-O
１３５	B-O
の	O
８７	B-O
脈拍	O
８９	B-O
体温	O
３９	B-OT
．	I-O
５	I-OT
度	O
咽頭	B-O
後壁	O
発赤	I-O
あり	B-O
、	O
扁桃	B-O
腫大	O
軽度	B-O
、	O
白	O
苔	O
あり	B-O
胸部	B-O
聴診	O
、	O
呼吸	B-O
音	I-O
正常	B-O
、	O
心音	B-白
正常	B-O
急性	O
扁桃	B-O
炎	I-A
でしょう	O
ペニシリン	O
を	O
出して	O
おき	O
ます	O
ね	O
体重	B-O
６３	B-O
ｋｇ	O
眼球	B-7
結膜	I-7
黄疸	B-7
なし	I-O
、	O
眼瞼	O
結膜	I-7
貧血	O
なし	I-O
胸部	B-O
聴診	O
、	O
肺	B-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
脈拍	O
整	O
腹部	O
所見	I-O
、	O
腹鳴	O
正常	B-O
範囲	O
下肢	O
浮腫	O
なし	I-O
やはり	O
２	I-O
型	O
糖尿	O
病	O
です	O
ね	O
カナグル	O
と	O
リピディル	O
を	O
出して	O
おき	O
ます	O
１	B-T
日	I-P
１	B-T
回	I-T
毎	I-T
食後	I-T
飲んで	O
ください	O
２８	O
日	I-P
文	O
だして	O
おき	O
ます	O
ね	O
聴診器	O
当て	O
ます	O
ね	O
肺	B-O
雑音	B-O
なし	I-O
、	O
心音	B-白
雑音	B-O
なし	I-O
四肢	O
浮腫	O
なし	I-O
全身	O
の	O
皮膚	O
に	O
乾燥	O
あり	B-O
高	O
血圧	B-O
症	I-A
です	O
ね	O
お	O
薬	O
は	O
カルベジロール	O
錠	I-T
１０	O
ＭＧ	O
１	B-T
錠	I-T
を	O
出し	O
ます	O
１	B-T
日	I-P
１	B-T
回	I-T
毎	I-T
食後	I-T
３０	I-P
日	I-P
文	O
出して	O
おき	O
ます	O
アルミ	O
テック	O
ＯＤ	O
錠	I-T
４０	O
ＭＧ	O
も	O
毎	I-T
食後	I-T
１	B-T
錠	I-T
飲んで	O
ください	O
３０	I-P
日	I-P
分	I-T
出して	O
おき	O
ます	O
感冒	B-A
症	I-A
な	O
ので	O
解熱	O
剤	O
と	O
抗生剤	O
を	O
出して	O
おき	O
ます	O
ね	O
血圧	B-O
１３５	B-O
の	O
８７	B-O
脈拍	O
８２	B-O
体温	O
３９	B-OT
．	I-O
５	I-OT
度	O
咽頭	B-O
後壁	O
発赤	I-O
軽度	B-O
、	O
扁桃	B-O
肥大	B-O
なし	I-O
白	O
苔	O
あり	B-O
病名	O
は	O
急性	O
扁桃	B-O
炎	I-A
でしょう	O
処方	O
は	O
抗生剤	O
を	O
３	I-OT
日	I-P
文	O
出し	O
ます	O
毎	I-T
食後	I-T
に	O
飲んで	O
ください	O
身長	B-O
１７４	B-O
．	I-O
２	I-O
ＣＭ	O
眼球	B-7
結膜	I-7
黄疸	B-7
なし	I-O
、	O
眼瞼	O
結膜	I-7
貧血	O
胸部	B-O
触診	O
、	O
肺	B-O
呼吸	B-O
音	I-O
式	O
用紙	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
診断	B-A
は	O
潰瘍	O
性	I-A
大腸	O
炎	I-A
の	O
疑い	O
が	O
あり	B-O
ます	O
レザルタス	O
配合	O
錠	I-T
を	O
一	O
日	I-P
一	O
回	I-T
朝食	O
後	I-P
に	O
飲んで	O
ください	O
３０	I-P
日	I-P
ぶん出	O
し	O
ます	O
このまま	O
経過	O
観察	O
し	O
ましょう	O
扁桃腺	B-O
肥大	B-O
は	O
なし	I-O
肺	B-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
腹部	O
所見	I-O
、	O
腹壁	O
平坦	O
圧痛	O
なし	I-O
四肢	O
浮腫	O
なし	I-O
胸部	B-O
Ｘ	O
線	O
異常	O
なし	I-O
肺	B-O
がん	O
の	O
疑い	O
が	O
ある	O
こと	O
、	O
狭心症	O
の	O
疑い	O
が	O
ある	O
こと	O
、	O
肝	O
機能	O
障害	I-A
の	O
疑い	O
が	O
ある	O
こと	O
本日	O
採決	O
を	O
行い	O
ましょう	O
次回	B-P
８	B-P
月	I-P
２９	O
日	I-P
に	O
結果	O
を	O
見	O
ましょう	O
胸部	B-O
所見	I-O
、	O
肺	B-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
なし	I-O
腰部	O
皮膚	O
は	O
正常	B-O
範囲	O
、	O
圧痛	O
なし	I-O
四肢	O
浮腫	O
なし	I-O
両手	O
が	O
乾燥	O
し	O
発疹	O
が	O
ある	O
左	O
足	O
に	O
慧眼	O
が	O
ある	O
診断	B-A
は	O
筋膜	O
性	I-A
腰痛	O
症	I-A
と	O
左	O
足	O
慧眼	O
と	O
進行	O
性	I-A
指掌角皮	O
です	O
処方	O
は	O
ウレパール	O
クリーム	O
で	O
両手	O
の	O
乾燥	O
や	O
発疹	O
の	O
様子	O
を	O
見	O
ましょう	O
ロキソニン	O
テープ	O
を	O
腰	O
が	O
張って	O
腰	O
の	O
痛み止め	O
と	O
し	O
ます	O
スピール	O
膏魚左足	O
の	O
炯眼	O
に	O
塗って	O
様子	O
を	O
見	O
ましょう	O
それぞれ	O
内服	O
と	O
外	I-A
用	O
で	O
経過	O
観察	O
と	O
し	O
ます	O
血圧	B-O
１２２	B-O
の	O
７２	B-O
脈拍	O
７５	B-O
酸素	O
飽和	O
度	O
９９	O
％	O
体温	O
３６	B-OT
．	I-O
６	I-O
度	O
眼球	B-7
結膜	I-7
黄疸	B-7
なし	I-O
、	O
眼瞼	O
結膜	I-7
貧血	O
あり	B-O
呼吸	B-O
音清	O
、	O
心臓	B-O
雑音	B-O
あり	B-O
脈拍	O
不整	O
腹部	O
所見	I-O
、	O
平坦	O
圧痛	O
なし	I-O
腹鳴	O
低下	O
、	O
腰	O
の	O
変形	O
が	O
ある	O
四肢	O
浮腫	O
なし	I-O
両ひざ	O
関節	O
疼痛	O
が	O
ある	O
アルツハイマー	O
型	O
認知	O
症	I-A
と	O
診断	B-A
し	O
ます	O
お	O
薬	O
は	O
ランソプラゾール	O
と	O
アロプリノール	O
錠	I-T
を	O
一	O
日	I-P
三	O
回	I-T
毎	I-T
食後	I-T
１４	O
日	I-P
文	O
出し	O
ます	O
セレネース	O
と	O
ベルソムラ	O
を	O
重視	O
した	O
まま	O
で	O
経過	O
観察	O
し	O
ましょう	O
次回	B-P
は	O
８	B-P
月	I-P
１０	O
日	I-P
午後	O
２	I-O
時	O
半	O
の	O
予定	O
血圧	B-O
は	O
１３５	B-O
の	O
８５	B-O
